Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,"xG
▼",npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
29,Cody Gakpo,nl NED,"FW,MF",Liverpool,24,1999,35,17,"1,649",18.3,8,5,13,8,0,0,1,0,9,9,2.9,11.8,43,83,130,0.44,0.27,0.71,0.44,0.71,0.49,0.16,0.64,0.49,0.64,Matches
30,Abdoulaye Doucouré,ml MLI,"FW,MF",Everton,30,1993,32,32,"2,629",29.2,7,1,8,7,0,0,7,0,8.8,8.8,2.9,11.6,55,97,140,0.24,0.03,0.27,0.24,0.27,0.3,0.1,0.4,0.3,0.4,Matches
31,Callum Wilson,eng ENG,FW,Newcastle Utd,31,1992,20,9,991,11,9,1,10,7,2,2,3,0,8.8,7.2,0.6,7.8,11,9,77,0.82,0.09,0.91,0.64,0.73,0.8,0.05,0.85,0.65,0.71,Matches
32,Rodrigo Muniz,br BRA,FW,Fulham,22,2001,26,18,"1,593",17.7,9,1,10,9,0,0,1,0,8.7,8.7,2,10.7,8,19,76,0.51,0.06,0.56,0.51,0.56,0.49,0.12,0.61,0.49,0.61,Matches
33,Alejandro Garnacho,ar ARG,FW,Manchester Utd,19,2004,36,30,"2,565",28.5,7,4,11,7,0,0,4,0,8.4,8.3,5.1,13.4,178,62,281,0.25,0.14,0.39,0.25,0.39,0.29,0.18,0.47,0.29,0.47,Matches
34,Leandro Trossard,be BEL,"FW,MF",Arsenal,28,1994,34,18,"1,649",18.3,12,1,13,12,0,0,2,0,7.9,7.9,2.8,10.7,66,76,155,0.65,0.05,0.71,0.65,0.71,0.43,0.15,0.58,0.43,0.58,Matches
35,Hwang Hee-chan,kr KOR,"FW,MF",Wolves,27,1996,29,25,"2,119",23.5,12,3,15,11,1,1,6,0,7.7,6.9,3,9.9,37,37,120,0.51,0.13,0.64,0.47,0.59,0.33,0.13,0.45,0.29,0.42,Matches
36,Rasmus Højlund,dk DEN,FW,Manchester Utd,20,2003,30,25,"2,158",24,10,2,12,10,0,0,2,0,7.6,7.6,1.6,9.2,36,33,111,0.42,0.08,0.5,0.42,0.5,0.32,0.07,0.38,0.32,0.38,Matches
37,Marcus Rashford,eng ENG,FW,Manchester Utd,25,1997,33,26,"2,271",25.2,7,2,9,5,2,2,2,0,7.4,5.8,2.3,8.1,95,65,184,0.28,0.08,0.36,0.2,0.28,0.29,0.09,0.38,0.23,0.32,Matches
38,Martin Ødegaard,no NOR,MF,Arsenal,24,1998,35,35,"3,091",34.3,8,10,18,6,2,2,2,0,7.4,5.8,9.6,15.5,91,344,202,0.23,0.29,0.52,0.17,0.47,0.22,0.28,0.5,0.17,0.45,Matches
39,Moussa Diaby,fr FRA,"FW,MF",Aston Villa,24,1999,38,25,"2,174",24.2,6,8,14,6,0,0,1,0,7,7,6.6,13.6,94,72,183,0.25,0.33,0.58,0.25,0.58,0.29,0.27,0.56,0.29,0.56,Matches
